QueryNumber;DocNumber;DocVotes
00017;791;1
00017;810;1
00017;816;1
00017;837;1
00017;839;1
00017;845;1
00017;882;1
00017;889;1
00017;897;1
00017;937;1
00017;938;1
00017;941;1
00017;944;1
00017;1000;1
00017;1023;1
00017;1040;1
00017;1069;1
00017;1080;1
00017;1088;1
00017;1101;1
00017;1103;1
00017;1115;1
00017;1187;1
00017;1234;1
00018;129;1
00018;153;1
00018;205;1
00018;226;1
00018;364;1
00018;370;1
00018;414;1
00018;424;1
00018;443;1
00018;642;1
00018;656;1
00018;657;1
00018;658;1
00018;660;1
00018;725;1
00018;816;1
00018;935;1
00018;993;1
00018;994;1
00018;1016;1
00018;1162;1
00019;21;1
00019;49;1
00019;359;1
00019;370;1
00019;398;1
00019;432;1
00019;455;1
00019;487;1
00019;506;1
00019;618;1
00019;626;1
00019;672;1
00019;688;1
00019;693;1
00019;897;1
00019;936;1
00019;944;1
00019;1000;1
00019;1049;1
00019;1103;1
00019;1129;1
00019;1205;1
00020;126;1
00020;133;1
00020;153;1
00020;181;1
00020;207;1
00020;208;1
00020;220;1
00020;278;1
00020;283;1
00020;286;1
00020;287;1
00020;288;1
00020;290;1
00020;292;1
00020;370;1
00020;443;1
00020;538;1
00020;539;1
00020;540;1
00020;544;1
00020;604;1
00020;643;1
00020;711;1
00020;715;1
00020;731;1
00020;758;1
00020;767;1
00020;791;1
00020;823;1
00020;824;1
00020;882;1
00020;919;1
00020;924;1
00020;928;1
00020;944;1
00020;962;1
00020;970;1
00020;1066;1
00020;1080;1
00020;1115;1
00020;1168;1
00020;1189;1
00020;1213;1
00020;1215;1
00020;1234;1
00020;1239;1
00021;68;1
00021;97;1
00021;98;1
00021;181;1
00021;251;1
00021;413;1
00021;416;1
00021;434;1
00021;443;1
00021;551;1
00021;615;1
00021;676;1
00021;708;1
00021;709;1
00021;719;1
00021;722;1
00021;751;1
00021;756;1
00021;757;1
00021;932;1
00021;941;1
00021;1098;1
00021;1115;1
00021;1158;1
00021;1189;1
00022;13;1
00022;39;1
00022;67;1
00022;69;1
00022;104;1
00022;130;1
00022;189;1
00022;197;1
00022;221;1
00022;226;1
00022;237;1
00022;247;1
00022;258;1
00022;262;1
00022;276;1
00022;322;1
00022;325;1
00022;333;1
00022;342;1
00022;343;1
00022;350;1
00022;365;1
00022;370;1
00022;392;1
00022;431;1
00022;464;1
00022;465;1
00022;473;1
00022;478;1
00022;503;1
00022;510;1
00022;512;1
00022;514;1
00022;586;1
00022;590;1
00022;654;1
00022;671;1
00022;682;1
00022;692;1
00022;704;1
00022;713;1
00022;729;1
00022;731;1
00022;735;1
00022;764;1
00022;774;1
00022;788;1
00022;843;1
00022;845;1
00022;871;1
00022;880;1
00022;881;1
00022;882;1
00022;888;1
00022;898;1
00022;908;1
00022;942;1
00022;946;1
00022;968;1
00022;1000;1
00022;1033;1
00022;1040;1
00022;1083;1
00022;1093;1
00022;1114;1
00022;1144;1
00022;1156;1
00022;1166;1
00022;1194;1
00022;1195;1
00023;9;1
00023;10;1
00023;11;1
00023;12;1
00023;34;1
00023;42;1
00023;99;1
00023;162;1
00023;163;1
00023;167;1
00023;198;1
00023;248;1
00023;285;1
00023;322;1
00023;350;1
00023;370;1
00023;426;1
00023;434;1
00023;464;1
00023;509;1
00023;541;1
00023;582;1
00023;583;1
00023;598;1
00023;716;1
00023;780;1
00023;859;1
00023;883;1
00023;888;1
00023;979;1
00023;984;1
00023;1096;1
00023;1114;1
00023;1156;1
00023;1163;1
00024;32;1
00024;72;1
00024;199;1
00024;207;1
00024;210;1
00024;240;1
00024;254;1
00024;331;1
00024;370;1
00024;377;1
00024;411;1
00024;477;1
00024;492;1
00024;522;1
00024;552;1
00024;559;1
00024;611;1
00024;647;1
00024;677;1
00024;724;1
00024;763;1
00024;858;1
00024;913;1
00024;915;1
00024;926;1
00024;934;1
00024;1000;1
00024;1031;1
00024;1109;1
00024;1195;1
00024;1232;1
00025;72;1
00025;74;1
00025;83;1
00025;84;1
00025;106;1
00025;112;1
00025;120;1
00025;141;1
00025;162;1
00025;172;1
00025;198;1
00025;221;1
00025;276;1
00025;370;1
00025;390;1
00025;392;1
00025;411;1
00025;415;1
00025;425;1
00025;431;1
00025;432;1
00025;464;1
00025;465;1
00025;503;1
00025;505;1
00025;530;1
00025;550;1
00025;559;1
00025;566;1
00025;568;1
00025;569;1
00025;622;1
00025;647;1
00025;855;1
00025;858;1
00025;875;1
00025;880;1
00025;881;1
00025;891;1
00025;913;1
00025;915;1
00025;926;1
00025;949;1
00025;977;1
00025;1027;1
00025;1031;1
00025;1083;1
00025;1156;1
00025;1194;1
00025;1195;1
00025;1210;1
00026;74;1
00026;104;1
00026;199;1
00026;221;1
00026;281;1
00026;285;1
00026;328;1
00026;333;1
00026;342;1
00026;343;1
00026;370;1
00026;392;1
00026;431;1
00026;434;1
00026;442;1
00026;465;1
00026;485;1
00026;488;1
00026;490;1
00026;610;1
00026;617;1
00026;665;1
00026;713;1
00026;774;1
00026;807;1
00026;855;1
00026;881;1
00026;942;1
00026;1061;1
00026;1144;1
00026;1166;1
00026;1194;1
00026;1195;1
00027;98;1
00027;179;1
00027;599;1
00027;756;1
00027;858;1
00027;905;1
00027;912;1
00027;913;1
00027;1000;1
00027;1083;1
00027;1096;1
00028;134;1
00028;135;1
00028;136;1
00028;215;1
00028;274;1
00028;300;1
00028;322;1
00028;331;1
00028;333;1
00028;343;1
00028;351;1
00028;352;1
00028;370;1
00028;392;1
00028;398;1
00028;465;1
00028;467;1
00028;477;1
00028;510;1
00028;550;1
00028;559;1
00028;586;1
00028;611;1
00028;665;1
00028;722;1
00028;724;1
00028;729;1
00028;735;1
00028;759;1
00028;763;1
00028;822;1
00028;832;1
00028;837;1
00028;875;1
00028;882;1
00028;913;1
00028;937;1
00028;942;1
00028;944;1
00028;969;1
00028;990;1
00028;1000;1
00028;1033;1
00028;1040;1
00028;1083;1
00028;1093;1
00028;1187;1
00028;1192;1
00028;1222;1
00028;1226;1
00028;1234;1
00029;15;1
00029;100;1
00029;215;1
00029;274;1
00029;300;1
00029;322;1
00029;333;1
00029;343;1
00029;350;1
00029;351;1
00029;352;1
00029;353;1
00029;370;1
00029;385;1
00029;392;1
00029;434;1
00029;442;1
00029;477;1
00029;510;1
00029;553;1
00029;687;1
00029;714;1
00029;722;1
00029;724;1
00029;729;1
00029;759;1
00029;763;1
00029;764;1
00029;788;1
00029;822;1
00029;832;1
00029;837;1
00029;875;1
00029;937;1
00029;942;1
00029;944;1
00029;1000;1
00029;1033;1
00029;1040;1
00029;1083;1
00029;1093;1
00029;1184;1
00029;1192;1
00029;1234;1
00030;117;1
00030;328;1
00030;332;1
00030;433;1
00030;492;1
00030;557;1
00030;586;1
00030;687;1
00030;775;1
00030;880;1
00030;881;1
00030;911;1
00030;942;1
00030;1001;1
00030;1084;1
00030;1224;1
00030;1234;1
00031;43;1
00031;69;1
00031;127;1
00031;128;1
00031;136;1
00031;145;1
00031;168;1
00031;189;1
00031;213;1
00031;226;1
00031;239;1
00031;272;1
00031;330;1
00031;331;1
00031;332;1
00031;359;1
00031;370;1
00031;389;1
00031;433;1
00031;448;1
00031;467;1
00031;512;1
00031;550;1
00031;551;1
00031;557;1
00031;586;1
00031;620;1
00031;628;1
00031;651;1
00031;701;1
00031;722;1
00031;724;1
00031;729;1
00031;735;1
00031;760;1
00031;762;1
00031;764;1
00031;839;1
00031;845;1
00031;882;1
00031;937;1
00031;938;1
00031;940;1
00031;942;1
00031;944;1
00031;999;1
00031;1000;1
00031;1020;1
00031;1022;1
00031;1036;1
00031;1040;1
00031;1084;1
00031;1093;1
00031;1187;1
00031;1224;1
00031;1232;1
00031;1233;1
00031;1234;1
00032;43;1
00032;127;1
00032;128;1
00032;181;1
00032;184;1
00032;189;1
00032;212;1
00032;226;1
00032;239;1
00032;315;1
00032;330;1
00032;331;1
00032;370;1
00032;389;1
00032;433;1
00032;467;1
00032;473;1
00032;489;1
00032;506;1
00032;586;1
00032;722;1
00032;735;1
00032;764;1
00032;882;1
00032;937;1
00032;999;1
00032;1040;1
00032;1093;1
00032;1220;1
00032;1234;1
00033;37;1
00033;65;1
00033;91;1
00033;94;1
00033;96;1
00033;210;1
00033;225;1
00033;297;1
00033;359;1
00033;370;1
00033;403;1
00033;404;1
00033;413;1
00033;465;1
00033;515;1
00033;612;1
00033;637;1
00033;638;1
00033;663;1
00033;719;1
00033;721;1
00033;731;1
00033;763;1
00033;764;1
00033;773;1
00033;793;1
00033;795;1
00033;797;1
00033;811;1
00033;818;1
00033;822;1
00033;825;1
00033;846;1
00033;882;1
00033;888;1
00033;889;1
00033;916;1
00033;920;1
00033;927;1
00033;978;1
00033;981;1
00033;995;1
00033;996;1
00033;1000;1
00033;1023;1
00033;1052;1
00033;1072;1
00033;1098;1
00033;1105;1
00033;1113;1
00033;1122;1
00033;1123;1
00033;1183;1
00033;1186;1
00033;1189;1
00033;1215;1
00033;1234;1
00034;37;1
00034;65;1
00034;76;1
00034;77;1
00034;94;1
00034;135;1
00034;225;1
00034;235;1
00034;236;1
00034;247;1
00034;261;1
00034;277;1
00034;297;1
00034;359;1
00034;403;1
00034;404;1
00034;465;1
00034;471;1
00034;552;1
00034;627;1
00034;637;1
00034;638;1
00034;721;1
00034;773;1
00034;795;1
00034;817;1
00034;818;1
00034;825;1
00034;846;1
00034;916;1
00034;933;1
00034;941;1
00034;944;1
00034;995;1
00034;1000;1
00034;1023;1
00034;1052;1
00034;1186;1
00034;1234;1
00035;32;1
00035;120;1
00035;210;1
00035;811;1
00035;825;1
00035;888;1
00035;913;1
00035;915;1
00035;920;1
00035;926;1
00035;948;1
00035;1105;1
00035;1109;1
00035;1119;1
00036;66;1
00036;325;1
00036;370;1
00036;403;1
00036;612;1
00036;721;1
00036;722;1
00036;724;1
00036;1052;1
00037;3;1
00037;4;1
00037;28;1
00037;33;1
00037;35;1
00037;38;1
00037;65;1
00037;71;1
00037;76;1
00037;116;1
00037;119;1
00037;120;1
00037;131;1
00037;148;1
00037;150;1
00037;158;1
00037;175;1
00037;203;1
00037;220;1
00037;225;1
00037;231;1
00037;233;1
00037;234;1
00037;238;1
00037;247;1
00037;280;1
00037;291;1
00037;294;1
00037;318;1
00037;319;1
00037;333;1
00037;334;1
00037;342;1
00037;345;1
00037;370;1
00037;378;1
00037;379;1
00037;380;1
00037;392;1
00037;403;1
00037;428;1
00037;433;1
00037;443;1
00037;465;1
00037;470;1
00037;476;1
00037;482;1
00037;483;1
00037;491;1
00037;492;1
00037;510;1
00037;512;1
00037;514;1
00037;596;1
00037;600;1
00037;627;1
00037;671;1
00037;697;1
00037;711;1
00037;712;1
00037;717;1
00037;721;1
00037;731;1
00037;774;1
00037;776;1
00037;815;1
00037;817;1
00037;818;1
00037;831;1
00037;835;1
00037;849;1
00037;866;1
00037;871;1
00037;877;1
00037;888;1
00037;930;1
00037;933;1
00037;941;1
00037;942;1
00037;944;1
00037;946;1
00037;991;1
00037;1008;1
00037;1011;1
00037;1014;1
00037;1028;1
00037;1080;1
00037;1126;1
00037;1128;1
00037;1130;1
00037;1131;1
00037;1133;1
00037;1135;1
00037;1174;1
00037;1176;1
00037;1178;1
00037;1182;1
00037;1234;1
00038;14;1
00038;76;1
00038;117;1
00038;142;1
00038;252;1
00038;360;1
00038;370;1
00038;390;1
00038;392;1
00038;444;1
00038;465;1
00038;503;1
00038;505;1
00038;510;1
00038;572;1
00038;573;1
00038;621;1
00038;622;1
00038;627;1
00038;634;1
00038;644;1
00038;646;1
00038;666;1
00038;702;1
00038;729;1
00038;776;1
00038;786;1
00038;856;1
00038;862;1
00038;866;1
00038;873;1
00038;881;1
00038;882;1
00038;888;1
00038;971;1
00038;990;1
00038;1001;1
00038;1024;1
00038;1027;1
00038;1029;1
00038;1059;1
00038;1066;1
00038;1068;1
00038;1072;1
00038;1075;1
00038;1130;1
00038;1136;1
00038;1140;1
00038;1146;1
00038;1148;1
00038;1160;1
00038;1230;1
00038;1234;1
00039;3;1
00039;67;1
00039;74;1
00039;76;1
00039;83;1
00039;84;1
00039;85;1
00039;102;1
00039;107;1
00039;108;1
00039;112;1
00039;135;1
00039;143;1
00039;216;1
00039;217;1
00039;218;1
00039;219;1
00039;221;1
00039;222;1
00039;225;1
00039;226;1
00039;230;1
00039;233;1
00039;235;1
00039;236;1
00039;244;1
00039;248;1
00039;249;1
00039;252;1
00039;254;1
00039;263;1
00039;276;1
00039;277;1
00039;289;1
00039;293;1
00039;297;1
00039;301;1
00039;304;1
00039;306;1
00039;307;1
00039;308;1
00039;338;1
00039;342;1
00039;343;1
00039;356;1
00039;360;1
00039;365;1
00039;366;1
00039;370;1
00039;392;1
00039;404;1
00039;407;1
00039;412;1
00039;420;1
00039;433;1
00039;453;1
00039;465;1
00039;470;1
00039;488;1
00039;490;1
00039;494;1
00039;503;1
00039;505;1
00039;508;1
00039;510;1
00039;529;1
00039;530;1
00039;532;1
00039;534;1
00039;535;1
00039;553;1
00039;560;1
00039;563;1
00039;564;1
00039;565;1
00039;566;1
00039;567;1
00039;568;1
00039;569;1
00039;570;1
00039;571;1
00039;572;1
00039;573;1
00039;576;1
00039;584;1
00039;586;1
00039;608;1
00039;610;1
00039;619;1
00039;621;1
00039;622;1
00039;627;1
00039;639;1
00039;645;1
00039;646;1
00039;647;1
00039;652;1
00039;654;1
00039;702;1
00039;716;1
00039;729;1
00039;738;1
00039;739;1
00039;740;1
00039;744;1
00039;746;1
00039;749;1
00039;776;1
00039;777;1
00039;786;1
00039;845;1
00039;849;1
00039;851;1
00039;862;1
00039;869;1
00039;873;1
00039;881;1
00039;882;1
00039;888;1
00039;889;1
00039;892;1
00039;902;1
00039;918;1
00039;942;1
00039;944;1
00039;949;1
00039;966;1
00039;971;1
00039;990;1
00039;1001;1
00039;1026;1
00039;1027;1
00039;1029;1
00039;1044;1
00039;1066;1
00039;1070;1
00039;1072;1
00039;1076;1
00039;1096;1
00039;1127;1
00039;1135;1
00039;1136;1
00039;1137;1
00039;1139;1
00039;1140;1
00039;1141;1
00039;1146;1
00039;1148;1
00039;1160;1
00039;1161;1
00039;1185;1
00039;1194;1
00039;1209;1
00039;1210;1
00039;1211;1
00039;1222;1
00039;1224;1
00039;1225;1
00039;1230;1
00039;1234;1
00039;1236;1
00039;1238;1
00040;2;1
00040;3;1
00040;4;1
00040;5;1
00040;9;1
00040;10;1
00040;17;1
00040;28;1
00040;32;1
00040;35;1
00040;76;1
00040;77;1
00040;95;1
00040;103;1
00040;105;1
00040;108;1
00040;109;1
00040;112;1
00040;115;1
00040;116;1
00040;119;1
00040;120;1
00040;132;1
00040;142;1
00040;144;1
00040;150;1
00040;151;1
00040;169;1
00040;173;1
00040;189;1
00040;198;1
00040;210;1
00040;225;1
00040;231;1
00040;233;1
00040;235;1
00040;236;1
00040;240;1
00040;248;1
00040;249;1
00040;252;1
00040;254;1
00040;261;1
00040;263;1
00040;277;1
00040;279;1
00040;289;1
00040;291;1
00040;293;1
00040;294;1
00040;297;1
00040;298;1
00040;304;1
00040;308;1
00040;333;1
00040;338;1
00040;344;1
00040;345;1
00040;351;1
00040;352;1
00040;370;1
00040;392;1
00040;404;1
00040;405;1
00040;407;1
00040;413;1
00040;417;1
00040;420;1
00040;434;1
00040;465;1
00040;478;1
00040;479;1
00040;508;1
00040;510;1
00040;515;1
00040;526;1
00040;529;1
00040;532;1
00040;535;1
00040;553;1
00040;560;1
00040;571;1
00040;572;1
00040;573;1
00040;576;1
00040;583;1
00040;613;1
00040;616;1
00040;619;1
00040;645;1
00040;646;1
00040;654;1
00040;673;1
00040;677;1
00040;731;1
00040;735;1
00040;763;1
00040;780;1
00040;785;1
00040;786;1
00040;815;1
00040;849;1
00040;851;1
00040;852;1
00040;869;1
00040;882;1
00040;888;1
00040;899;1
00040;931;1
00040;941;1
00040;942;1
00040;949;1
00040;954;1
00040;956;1
00040;959;1
00040;1000;1
00040;1008;1
00040;1024;1
00040;1027;1
00040;1029;1
00040;1052;1
00040;1080;1
00040;1100;1
00040;1105;1
00040;1109;1
00040;1117;1
00040;1124;1
00040;1126;1
00040;1127;1
00040;1128;1
00040;1130;1
00040;1131;1
00040;1132;1
00040;1133;1
00040;1135;1
00040;1137;1
00040;1139;1
00040;1141;1
00040;1146;1
00040;1148;1
00040;1160;1
00040;1161;1
00040;1192;1
00040;1193;1
00040;1230;1
00040;1234;1
00041;46;1
00041;296;1
00041;301;1
00041;322;1
00041;370;1
00041;392;1
00041;603;1
00041;941;1
00041;998;1
00041;1106;1
00041;1107;1
00041;1108;1
00041;1115;1
00041;1184;1
00041;1190;1
00042;5;1
00042;46;1
00042;57;1
00042;92;1
00042;135;1
00042;209;1
00042;245;1
00042;297;1
00042;301;1
00042;314;1
00042;317;1
00042;322;1
00042;337;1
00042;339;1
00042;370;1
00042;416;1
00042;434;1
00042;443;1
00042;489;1
00042;505;1
00042;509;1
00042;550;1
00042;585;1
00042;586;1
00042;601;1
00042;695;1
00042;719;1
00042;722;1
00042;724;1
